,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
31,2017-10-31,20361.39443080124,18238.26035295521,21408.39878629595,20361.39443080124,20361.39443080124,-410.04678702713755,-410.04678702713755,-410.04678702713755,-410.04678702713755,-410.04678702713755,-410.04678702713755,0.0,0.0,0.0,19951.3476437741
32,2017-11-30,20751.278483131417,18770.84370729495,21671.609435309347,20751.278483131417,20751.278483131417,-545.2149994331455,-545.2149994331455,-545.2149994331455,-545.2149994331455,-545.2149994331455,-545.2149994331455,0.0,0.0,0.0,20206.06348369827
33,2017-12-31,21154.158670539266,19657.54862306439,22795.95072752859,21154.158670539266,21154.158670539266,167.6588648678828,167.6588648678828,167.6588648678828,167.6588648678828,167.6588648678828,167.6588648678828,0.0,0.0,0.0,21321.81753540715
34,2018-01-31,21556.97759597771,20513.513982841483,23493.584124301673,21556.97759597771,21556.97759597771,443.9000182013209,443.9000182013209,443.9000182013209,443.9000182013209,443.9000182013209,443.9000182013209,0.0,0.0,0.0,22000.877614179033
35,2018-02-28,21920.81404476082,19499.603376113773,22468.655919258657,21920.81404476082,21920.81404476082,-874.6504677870546,-874.6504677870546,-874.6504677870546,-874.6504677870546,-874.6504677870546,-874.6504677870546,0.0,0.0,0.0,21046.163576973766
36,2018-03-31,22323.63297019926,21256.690131951957,24251.061464482023,22323.63297019926,22323.63297019926,425.4585824318822,425.4585824318822,425.4585824318822,425.4585824318822,425.4585824318822,425.4585824318822,0.0,0.0,0.0,22749.091552631144
37,2018-04-30,22713.16522012777,21240.371691373977,24300.840758039558,22713.16522012777,22713.16522012777,147.05111821236903,147.05111821236903,147.05111821236903,147.05111821236903,147.05111821236903,147.05111821236903,0.0,0.0,0.0,22860.21633834014
38,2018-05-31,23115.68187838722,21088.60301763046,24082.714804106865,23115.68187838722,23115.68187838722,-521.1909570450692,-521.1909570450692,-521.1909570450692,-521.1909570450692,-521.1909570450692,-521.1909570450692,0.0,0.0,0.0,22594.49092134215
39,2018-06-30,23494.2000483189,21887.31391142685,24785.998356696804,23494.2000483189,23494.2000483189,-151.9085258827822,-151.9085258827822,-151.9085258827822,-151.9085258827822,-151.9085258827822,-151.9085258827822,0.0,0.0,0.0,23342.291522436117
40,2018-07-31,23885.335490581638,23338.28557746727,26277.98433483001,23885.335490581638,23885.335490581638,944.7526698152815,944.7526698152815,944.7526698152815,944.7526698152815,944.7526698152815,944.7526698152815,0.0,0.0,0.0,24830.088160396917
41,2018-08-31,24276.47093284438,22562.208436602938,25569.94734865337,24276.47093284438,24276.47093284438,-185.47329645139425,-185.47329645139425,-185.47329645139425,-185.47329645139425,-185.47329645139425,-185.47329645139425,0.0,0.0,0.0,24090.997636392985
42,2018-09-30,24654.908414383226,23223.677587710183,26305.45294575582,24654.908414383226,24654.908414383226,40.65574207995748,40.65574207995748,40.65574207995748,40.65574207995748,40.65574207995748,40.65574207995748,0.0,0.0,0.0,24695.564156463184
43,2018-10-31,25045.960478640045,23013.543283207582,26053.300980773238,25045.960478640045,25045.960478640045,-486.7618912146937,-486.7618912146937,-486.7618912146937,-486.7618912146937,-486.7618912146937,-486.7618912146937,0.0,0.0,0.0,24559.19858742535
44,2018-11-30,25424.397960178892,23382.11492351774,26402.416231412077,25424.397960178892,25424.397960178892,-544.9706131917343,-544.9706131917343,-544.9706131917343,-544.9706131917343,-544.9706131917343,-544.9706131917343,0.0,0.0,0.0,24879.42734698716
45,2018-12-31,25815.358066770154,24831.98565638147,27671.96004829274,25815.358066770154,25815.358066770154,448.7707911879335,448.7707911879335,448.7707911879335,448.7707911879335,448.7707911879335,448.7707911879335,0.0,0.0,0.0,26264.128857958087
46,2019-01-31,26206.318173361407,25082.72962416087,28108.834825472546,26206.318173361407,26206.318173361407,243.519522477184,243.519522477184,243.519522477184,243.519522477184,243.519522477184,243.519522477184,0.0,0.0,0.0,26449.837695838592
47,2019-02-28,26559.443430927706,23943.631531591243,26862.74181978486,26559.443430927706,26559.443430927706,-1193.9749941514788,-1193.9749941514788,-1193.9749941514788,-1193.9749941514788,-1193.9749941514788,-1193.9749941514788,0.0,0.0,0.0,25365.468436776227
48,2019-03-31,26950.403537543065,26261.60448890655,29127.119907029974,26950.403537543065,26950.403537543065,756.3482673949645,756.3482673949645,756.3482673949645,756.3482673949645,756.3482673949645,756.3482673949645,0.0,0.0,0.0,27706.75180493803
49,2019-04-30,27328.752027815986,26007.745285095978,29048.720820096954,27328.752027815986,27328.752027815986,230.39813209323646,230.39813209323646,230.39813209323646,230.39813209323646,230.39813209323646,230.39813209323646,0.0,0.0,0.0,27559.150159909223
50,2019-05-31,27719.712134431345,25983.080392154137,28803.691131211992,27719.712134431345,27719.712134431345,-343.56515980310195,-343.56515980310195,-343.56515980310195,-343.56515980310195,-343.56515980310195,-343.56515980310195,0.0,0.0,0.0,27376.146974628242
51,2019-06-30,28098.060620065917,26111.70949459827,29144.136631965033,28098.060620065917,28098.060620065917,-416.6775021882595,-416.6775021882595,-416.6775021882595,-416.6775021882595,-416.6775021882595,-416.6775021882595,0.0,0.0,0.0,27681.383117877656
52,2019-07-31,28489.020721888322,27934.02715009383,30793.302082132697,28489.020721888322,28489.020721888322,815.9674739597802,815.9674739597802,815.9674739597802,815.9674739597802,815.9674739597802,815.9674739597802,0.0,0.0,0.0,29304.988195848102
53,2019-08-31,28879.980823710717,27197.258687954854,30214.591022225508,28879.980823710717,28879.980823710717,-203.40526913478382,-203.40526913478382,-203.40526913478382,-203.40526913478382,-203.40526913478382,-203.40526913478382,0.0,0.0,0.0,28676.575554575935
54,2019-09-30,29258.329315107192,28079.34630386835,31001.187004543397,29258.329315107192,29258.329315107192,247.88273772790612,247.88273772790612,247.88273772790612,247.88273772790612,247.88273772790612,247.88273772790612,0.0,0.0,0.0,29506.212052835097
55,2019-10-31,29649.289422883554,27665.523527095116,30545.036965624506,29649.289422883554,29649.289422883554,-565.0743379213386,-565.0743379213386,-565.0743379213386,-565.0743379213386,-565.0743379213386,-565.0743379213386,0.0,0.0,0.0,29084.215084962216
56,2019-11-30,30027.63791428003,28048.256880290115,30990.70169301612,30027.63791428003,30027.63791428003,-542.1696865481755,-542.1696865481755,-542.1696865481755,-542.1696865481755,-542.1696865481755,-542.1696865481755,0.0,0.0,0.0,29485.468227731853
57,2019-12-31,30418.59802124923,29684.62947901565,32547.0398211816,30418.59802124923,30418.59802124923,724.9628334204598,724.9628334204598,724.9628334204598,724.9628334204598,724.9628334204598,724.9628334204598,0.0,0.0,0.0,31143.56085466969
58,2020-01-31,30809.55812821843,29414.20026028861,32303.47173753266,30809.55812821843,30809.55812821843,35.049586657536295,35.049586657536295,35.049586657536295,35.049586657536295,35.049586657536295,35.049586657536295,0.0,0.0,0.0,30844.607714875965
59,2020-02-29,31175.295002479943,29455.512032847608,32463.568718882685,31175.295002479943,31175.295002479943,-210.1036660180023,-210.1036660180023,-210.1036660180023,-210.1036660180023,-210.1036660180023,-210.1036660180023,0.0,0.0,0.0,30965.19133646194
60,2020-03-31,31566.255116529006,29869.84479069742,32824.66983798818,31566.255116529006,31566.255116529006,-213.74761756587017,-213.74761756587017,-213.74761756587017,-213.74761756587017,-213.74761756587017,-213.74761756587017,0.0,0.0,0.0,31352.507498963136
61,2020-04-30,31944.603613995852,30411.941563373803,33442.921333642735,31944.603613995852,31944.603613995852,-25.57889105331342,-25.57889105331342,-25.57889105331342,-25.57889105331342,-25.57889105331342,-25.57889105331342,0.0,0.0,0.0,31919.02472294254
62,2020-05-31,32335.563728044926,29922.277773983424,32794.28002398159,32335.563728044926,32335.563728044926,-895.3197534071527,-895.3197534071527,-895.3197534071527,-895.3197534071527,-895.3197534071527,-895.3197534071527,0.0,0.0,0.0,31440.243974637775
